# FTRANSFER.CLOCKS.01 frozen data interface (b): alpha_s(Q) reference running
# Source: PDG 2024 (S. Navas et al., Particle Data Group), Prog. Theor. Exp.
#   Phys. 2024, 083C01: world average alpha_s(M_Z) = 0.1180 +- 0.0009 (QCD
#   review Sec. 9.4.4); 4-loop MS-bar beta function coefficients b0..b3 (QCD
#   review Eq. (9.5)); M_Z = 91.1880 GeV; top pole mass m_t = 172.57 GeV.
# Construction (deterministic; this is the PDG-quoted running curve that
#   underlies the world-summary alpha_s(Q) overlay, PDG 2024 Fig. 9.5):
#   4-loop RGE integrated with fixed-step classical RK4 (4000 steps/leg) in
#   ln Q; n_f = 5 from M_Z to m_t, 5->6 matching by CONTINUITY at m_t (the
#   prescription frozen in the preregistration), n_f = 6 from m_t to 1 TeV.
#   alpha_lo/alpha_hi propagate alpha_s(M_Z) = 0.1171 / 0.1189 identically.
# Columns: Q_GeV,alpha_s,alpha_s_lo,alpha_s_hi
91.188000,0.11800000,0.11710000,0.11890000
92.409329,0.11776315,0.11686684,0.11865944
93.647015,0.11752727,0.11663462,0.11841987
94.901278,0.11729236,0.11640335,0.11818129
96.172341,0.11705842,0.11617302,0.11794369
97.460427,0.11682542,0.11594362,0.11770708
98.765766,0.11659338,0.11571515,0.11747143
100.088587,0.11636227,0.11548759,0.11723675
101.429126,0.11613211,0.11526096,0.11700303
102.787619,0.11590287,0.11503523,0.11677026
104.164307,0.11567456,0.11481040,0.11653844
105.559434,0.11544717,0.11458648,0.11630756
106.973247,0.11522070,0.11436345,0.11607761
108.405995,0.11499513,0.11414130,0.11584860
109.857934,0.11477047,0.11392004,0.11562051
111.329318,0.11454670,0.11369965,0.11539334
112.820410,0.11432383,0.11348014,0.11516708
114.331473,0.11410184,0.11326149,0.11494172
115.862774,0.11388074,0.11304371,0.11471727
117.414584,0.11366051,0.11282678,0.11449372
118.987179,0.11344115,0.11261070,0.11427106
120.580837,0.11322265,0.11239546,0.11404928
122.195839,0.11300502,0.11218107,0.11382838
123.832472,0.11278824,0.11196751,0.11360836
125.491025,0.11257231,0.11175479,0.11338921
127.171791,0.11235723,0.11154289,0.11317092
128.875070,0.11214299,0.11133181,0.11295349
130.601161,0.11192958,0.11112154,0.11273691
132.350370,0.11171700,0.11091209,0.11252118
134.123008,0.11150524,0.11070345,0.11230630
135.919388,0.11129431,0.11049561,0.11209226
137.739827,0.11108419,0.11028856,0.11187904
139.584648,0.11087489,0.11008231,0.11166666
141.454178,0.11066638,0.10987684,0.11145510
143.348748,0.11045868,0.10967216,0.11124436
145.268693,0.11025178,0.10946826,0.11103444
147.214352,0.11004567,0.10926513,0.11082532
149.186071,0.10984034,0.10906277,0.11061701
151.184198,0.10963580,0.10886118,0.11040950
153.209087,0.10943203,0.10866035,0.11020278
155.261096,0.10922904,0.10846027,0.10999686
