# FTRANSFER.CLOCKS.01 frozen data interface (a): g_*rho(T), g_*s(T)
# Source (named in the preregistration): K. Saikawa & S. Shirai,
#   'Primordial gravitational waves, precisely: the role of thermodynamics
#   in the Standard Model', JCAP 05 (2018) 035, arXiv:1803.01038,
#   Appendix A tabulated data, file standardmodel2018.dat,
#   https://member.ipmu.jp/satoshi.shirai/EOS2018 (retrieved 2026-08-05).
# Full source file sha256: 268a51b869198b13aef052185323e0b0015f78f4a0902f19a79e71d1017dfaad
# Curation rule (deterministic): data rows subsampled every 20th row of the
#   10000-row log(T)-spaced source table, plus the final row (501 rows).
#   Values are copied verbatim (no reformatting, no interpolation).
# Columns: T_GeV,gstar_rho,gstar_rho_err,gstar_s,gstar_s_err
1.9952623e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
2.2151456e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
2.4592605e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
2.7302776e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
3.0311615e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
3.3652036e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
3.7360581e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
4.1477817e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
4.6048783e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
5.1123483e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
5.6757427e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
6.3012248e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
6.9956366e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
7.7665745e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
8.6224718e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
9.5726912e-06,3.3830836,0.0033830836,3.9309363,0.0039309363
1.0627627e-05,3.3830836,0.0033830836,3.9309363,0.0039309363
1.179882e-05,3.3830836,0.0033830836,3.9309363,0.0039309363
1.3099082e-05,3.3830836,0.0033830836,3.9309363,0.0039309363
1.4542636e-05,3.3830836,0.0033830836,3.9309363,0.0039309363
1.6145273e-05,3.3830836,0.0033830836,3.9309363,0.0039309363
1.7924526e-05,3.3830836,0.0033830836,3.9309363,0.0039309363
1.9899856e-05,3.3830836,0.0033830836,3.9309363,0.0039309363
2.2092874e-05,3.3830839,0.0033830839,3.9309366,0.0039309366
2.4527568e-05,3.3830863,0.0033830863,3.9309387,0.0039309387
2.7230571e-05,3.3831006,0.0033831006,3.9309516,0.0039309516
3.0231453e-05,3.38317,0.00338317,3.931014,0.003931014
3.356304e-05,3.3834486,0.0033834486,3.9312652,0.0039312652
3.7261777e-05,3.3843914,0.0033843914,3.9321185,0.0039321185
4.1368125e-05,3.3871278,0.0033871278,3.9346043,0.0039346043
4.5927003e-05,3.3940421,0.0033940421,3.9409108,0.0039409108
5.0988281e-05,3.4094649,0.0034094649,3.9550359,0.0039550359
5.6607326e-05,3.4402157,0.0034402157,3.9833161,0.0039833161
6.2845605e-05,3.4956558,0.0034956558,4.0344991,0.0040344991
6.9771359e-05,3.5869846,0.0035869846,4.1190905,0.0041190905
7.746035e-05,3.7257647,0.0037257647,4.2479333,0.0042479333
8.5996688e-05,3.9219584,0.0039219584,4.4302841,0.0044302841
9.5473753e-05,4.1819504,0.0041819504,4.6718816,0.0046718816
0.00010599522,4.5070559,0.0045070559,4.9735386,0.0049735386
0.00011767617,4.8928686,0.0048928686,5.3306311,0.0053306311
0.0001306444,5.3295851,0.0053295851,5.7335805,0.0057335805
0.00014504176,5.8032049,0.0058032049,6.1691516,0.0061691516
0.00016102576,6.297314,0.006297314,6.6222113,0.0066222113
0.00017877122,6.7950584,0.0067950584,7.077545,0.007077545
0.00019847229,7.2809237,0.0072809237,7.5213936,0.0075213936
0.00022034447,7.7420431,0.0077420431,7.9425098,0.0079425098
0.00024462702,8.1689104,0.0081689104,8.3326758,0.0083326758
0.00027158557,8.5555233,0.0085555233,8.6867436,0.0086867436
0.00030151503,8.8990856,0.0088990856,9.0023263,0.0090023263
0.00033474279,9.1994388,0.0091994388,9.2792878,0.0092792878
0.00037163234,9.4583845,0.0094583845,9.519163,0.009519163
0.00041258722,9.6790236,0.0096790236,9.7246012,0.0097246012
0.00045805544,9.8651873,0.0098651873,9.8988907,0.0098988907
0.00050853438,10.020992,0.010020992,10.045587,0.010045587
0.00056457623,10.150524,0.010150524,10.168246,0.010168246
0.00062679404,10.257633,0.010257633,10.270245,0.010270245
0.00069586842,10.345814,0.010345814,10.35468,0.01035468
0.00077255498,10.418161,0.010418161,10.424315,0.010424315
0.00085769261,10.477352,0.010477352,10.481566,0.010481566
0.00095221263,10.525675,0.010525675,10.528519,0.010528519
0.001057149,10.565059,0.010565059,10.566946,0.010566946
0.0011736497,10.597115,0.010597115,10.598342,0.010598342
0.001302989,10.623181,0.010623181,10.623958,0.010623958
0.0014465819,10.64436,0.01064436,10.644836,0.010644836
0.0016059991,10.661559,0.010661559,10.661835,0.010661835
0.0017829845,10.675519,0.010675519,10.675666,0.010675666
0.0019794741,10.686847,0.010686847,10.686913,0.010686913
0.0021976175,10.696037,0.010696037,10.696054,0.010696054
0.0024398008,10.703492,0.010703492,10.70348,0.01070348
0.0027086734,10.709538,0.010709538,10.709512,0.010709512
0.0030071764,10.714442,0.010714442,10.714409,0.010714409
0.0033385753,10.718419,0.010718419,10.718384,0.010718384
0.0037064953,10.721644,0.010721644,10.721611,0.010721611
0.004114961,10.724259,0.010724259,10.724229,0.010724229
0.0045684407,10.726381,0.010726381,10.726354,0.010726354
0.0050718951,10.728102,0.010728102,10.728079,0.010728079
0.0056308315,10.729505,0.010729505,10.729484,0.010729484
0.0062513642,10.730678,0.010730678,10.730651,0.010730651
0.0069402812,10.73176,0.01073176,10.731702,0.010731702
0.0077051188,10.733065,0.010733065,10.732898,0.010732898
0.0085542435,10.735312,0.010735312,10.734827,0.010734827
0.009496944,10.74001,0.01074001,10.738731,0.010738731
0.010543533,10.751217,0.011098057,10.747909,0.011014074
0.011705458,10.770815,0.011890762,10.76413,0.011653681
0.012995431,10.806919,0.013801324,10.794189,0.013212388
0.014427562,10.868036,0.017809715,10.845496,0.016506206
0.016017518,10.963624,0.025401662,10.92649,0.022800927
0.017782692,11.102787,0.038462943,11.045604,0.033737155
0.019742392,11.292813,0.059012859,11.210064,0.051118687
0.021918056,11.537421,0.088881017,11.424288,0.07665458
0.024333485,11.835984,0.12951147,11.689123,0.11182036
0.0270151,12.182957,0.18134181,12.001112,0.15725795
0.029992236,12.568909,0.24392569,12.353211,0.21288038
0.033297461,12.981494,0.31577259,12.735405,0.27765142
0.03696693,13.4075,0.3950395,13.136388,0.35018616
