run,source,family,offsets_from_p,selection_mse,selected
primary,pi,single,none,0.7530819108853425,False
primary,pi,single,0,0.753317212787053,False
primary,pi,single,1,0.7542563841690364,False
primary,pi,single,2,0.7533884351364303,False
primary,pi,single,3,0.7541621906004453,False
primary,pi,single,4,0.7534064331795228,False
primary,pi,single,5,0.7531268453912727,False
primary,pi,single,6,0.7539648038798408,False
primary,pi,single,7,0.7528557559030612,True
primary,pi,nonlinear,none,0.7530819108853425,True
primary,pi,nonlinear,"0,1",0.7558572641126826,False
primary,pi,nonlinear,"0,2",0.7557878614769152,False
primary,pi,nonlinear,"0,3",0.7559634688983145,False
primary,pi,nonlinear,"0,4",0.7575930030141115,False
primary,pi,nonlinear,"0,5",0.7552073963827716,False
primary,pi,nonlinear,"0,6",0.7564242368054034,False
primary,pi,nonlinear,"0,7",0.7549619649789618,False
primary,pi,nonlinear,"1,2",0.7556593287620359,False
primary,pi,nonlinear,"1,3",0.7572384179248068,False
primary,pi,nonlinear,"1,4",0.7563149493009076,False
primary,pi,nonlinear,"1,5",0.7555808402780372,False
primary,pi,nonlinear,"1,6",0.757988675936492,False
primary,pi,nonlinear,"1,7",0.7588801994669796,False
primary,pi,nonlinear,"2,3",0.7563536287923389,False
primary,pi,nonlinear,"2,4",0.7554187533102493,False
primary,pi,nonlinear,"2,5",0.7541508036623742,False
primary,pi,nonlinear,"2,6",0.7574383594832336,False
primary,pi,nonlinear,"2,7",0.7552990194037227,False
primary,pi,nonlinear,"3,4",0.7561716391702907,False
primary,pi,nonlinear,"3,5",0.7558074642517719,False
primary,pi,nonlinear,"3,6",0.756232927316665,False
primary,pi,nonlinear,"3,7",0.7550554508330086,False
primary,pi,nonlinear,"4,5",0.755770109720089,False
primary,pi,nonlinear,"4,6",0.7551362334559589,False
primary,pi,nonlinear,"4,7",0.7556675057956941,False
primary,pi,nonlinear,"5,6",0.7565756725479296,False
primary,pi,nonlinear,"5,7",0.7562088129174201,False
primary,pi,nonlinear,"6,7",0.7546842435227792,False
primary,pi,nonlinear,"0,1,2",0.7540311834895362,False
primary,pi,nonlinear,"1,2,3",0.754952112329315,False
primary,pi,nonlinear,"2,3,4",0.7555561476398901,False
primary,pi,nonlinear,"3,4,5",0.75563235101099,False
primary,pi,nonlinear,"4,5,6",0.7562373240537502,False
primary,pi,nonlinear,"5,6,7",0.7557330531881852,False
primary,e,single,none,0.7530819108853425,False
primary,e,single,0,0.754126903177532,False
primary,e,single,1,0.7532153048380809,False
primary,e,single,2,0.7535936768617565,False
primary,e,single,3,0.7535018504044694,False
primary,e,single,4,0.7537154916368133,False
primary,e,single,5,0.754847166324974,False
primary,e,single,6,0.7539341378243165,False
primary,e,single,7,0.7529811584162908,True
primary,e,nonlinear,none,0.7530819108853425,True
primary,e,nonlinear,"0,1",0.7556253541232488,False
primary,e,nonlinear,"0,2",0.7574065803751484,False
primary,e,nonlinear,"0,3",0.7568568970368489,False
primary,e,nonlinear,"0,4",0.7552593254471864,False
primary,e,nonlinear,"0,5",0.7574506981574227,False
primary,e,nonlinear,"0,6",0.7575146597153396,False
primary,e,nonlinear,"0,7",0.7546368686802571,False
primary,e,nonlinear,"1,2",0.754249980247424,False
primary,e,nonlinear,"1,3",0.755835777994354,False
primary,e,nonlinear,"1,4",0.7550654732411095,False
primary,e,nonlinear,"1,5",0.756789353310967,False
primary,e,nonlinear,"1,6",0.7563976305973721,False
primary,e,nonlinear,"1,7",0.7558710547795475,False
primary,e,nonlinear,"2,3",0.7568737538681496,False
primary,e,nonlinear,"2,4",0.7558750929279792,False
primary,e,nonlinear,"2,5",0.7573631869373941,False
primary,e,nonlinear,"2,6",0.7555831179105781,False
primary,e,nonlinear,"2,7",0.7583151517201587,False
primary,e,nonlinear,"3,4",0.7548093393902084,False
primary,e,nonlinear,"3,5",0.7565523264317165,False
primary,e,nonlinear,"3,6",0.7553336534085486,False
primary,e,nonlinear,"3,7",0.7557762903502061,False
primary,e,nonlinear,"4,5",0.7566632374210357,False
primary,e,nonlinear,"4,6",0.7546449752617955,False
primary,e,nonlinear,"4,7",0.7552806047343721,False
primary,e,nonlinear,"5,6",0.7568308346041389,False
primary,e,nonlinear,"5,7",0.7574804556706679,False
primary,e,nonlinear,"6,7",0.7561523924616783,False
primary,e,nonlinear,"0,1,2",0.7555746844092657,False
primary,e,nonlinear,"1,2,3",0.7542651605983964,False
primary,e,nonlinear,"2,3,4",0.7552979836391004,False
primary,e,nonlinear,"3,4,5",0.7542955310783432,False
primary,e,nonlinear,"4,5,6",0.7552710787326438,False
primary,e,nonlinear,"5,6,7",0.7554287503665867,False
primary,sqrt2,single,none,0.7530819108853425,True
primary,sqrt2,single,0,0.7532121547969692,False
primary,sqrt2,single,1,0.7533688928873566,False
primary,sqrt2,single,2,0.7534932329129718,False
primary,sqrt2,single,3,0.7538118647916112,False
primary,sqrt2,single,4,0.75369273569251,False
primary,sqrt2,single,5,0.7533463376165107,False
primary,sqrt2,single,6,0.7532114202293703,False
primary,sqrt2,single,7,0.7535456745324597,False
primary,sqrt2,nonlinear,none,0.7530819108853425,True
primary,sqrt2,nonlinear,"0,1",0.754353576128237,False
primary,sqrt2,nonlinear,"0,2",0.7566732481554893,False
primary,sqrt2,nonlinear,"0,3",0.7541162424657057,False
primary,sqrt2,nonlinear,"0,4",0.7544167420157473,False
primary,sqrt2,nonlinear,"0,5",0.7549170842463047,False
primary,sqrt2,nonlinear,"0,6",0.7549068113586754,False
primary,sqrt2,nonlinear,"0,7",0.7553660969175082,False
primary,sqrt2,nonlinear,"1,2",0.7553878964490465,False
primary,sqrt2,nonlinear,"1,3",0.7562035269405604,False
primary,sqrt2,nonlinear,"1,4",0.7561963340695386,False
primary,sqrt2,nonlinear,"1,5",0.7554564556154381,False
primary,sqrt2,nonlinear,"1,6",0.7544731616074238,False
primary,sqrt2,nonlinear,"1,7",0.7572774309326302,False
primary,sqrt2,nonlinear,"2,3",0.7565393935830673,False
primary,sqrt2,nonlinear,"2,4",0.7569862804077069,False
primary,sqrt2,nonlinear,"2,5",0.7579803852890112,False
primary,sqrt2,nonlinear,"2,6",0.7555796984165603,False
primary,sqrt2,nonlinear,"2,7",0.7559803709660083,False
primary,sqrt2,nonlinear,"3,4",0.7563888974453125,False
primary,sqrt2,nonlinear,"3,5",0.756529853819068,False
primary,sqrt2,nonlinear,"3,6",0.7575610953464567,False
primary,sqrt2,nonlinear,"3,7",0.7557459571715586,False
primary,sqrt2,nonlinear,"4,5",0.7540487115434942,False
primary,sqrt2,nonlinear,"4,6",0.7552884136896593,False
primary,sqrt2,nonlinear,"4,7",0.7570303127815875,False
