claim_id,claim,status,location,dependencies,script,external_data,supersedes,canonical_status,active
AX.P1.01,"c3 = 1/(8 pi) boundary seam kernel -- a DECLARED input but NOT a free knob: it reduces to the parabolic anchor a=(1,1,2) via c3 = 1/(2 e1(a) pi) = 1/(8pi) (e1(a)=4=|mu4|; ANCHOR.GEN.01/v23), and the '8' is the one-sided Gauss-Bonnet of the seam normal slice (|Z2|*2pi*chi(S^2)=8pi, chi=2; v58/v73). On the dimensionless axis the ONLY transcendental primitive is pi (ARCH.CORE.01/v53); {c3,g_car} reduce to {a, pi} SYNTHESIS NOTE (2026-08-28, v993 -- marker Axiom UNCHANGED): the mu4 average E = (1/4) sum_r Ad(u^r) is the UNIQUE trace-preserving finite conditional expectation onto the clock-fixed algebra (uniqueness needs the module property; kernel dim 36/720 without it); the arithmetic 1/(4 * 2 pi) = c3 is the v484/v813 identity (not a new derivation of P1). The equidistribution identification (modular det-line response even over the four deck sectors) stays the open [C] of v813. Axiom typing UNCHANGED.","Axiom (declared input; reduces to the anchor a=(1,1,2)+pi)",tfpt_1,ANCHOR.GEN.01; ARCH.CORE.01; SEAM.KHALF.01; v993,-,Gauss-Bonnet (geometric origin),,Axiom (declared) but anchor-reducible: c3=1/(2 e1(a) pi); only pi is the dimensionless primitive | 2026-08-28 v993: unique finite CE + 1/(4*2pi) arithmetic shadow; equidistribution stays [C] of v813; axiom typing UNCHANGED    WAVE-5 (2026-08-29): SEAM.MMST.TYPEIII.CHARGED.01 reads P1 as theorem-conditional on seam identification + beta_angle=2pi (KLM + Longo-Tanimoto GIVEN identification); axiom typing UNCHANGED.,true
AX.P2.01,"g_car = 5 carrier interface (3+2) -- a DECLARED input but an OVER-DETERMINED bootstrap fixed point, not a free choice: forced three independent ways by the E8 closure (bootstrap mu^2-5mu+4=0, BOOT.01/v6), uniquely solved by the Pascal carrier condition 2^g=g^2+g+2 => g=5 (Lean-formalised, no sorry; FORM.LADDER.01), and the (g_car,N_fam)=(5,3) pair is the anchor moment data e2(a)=g_car (ARCH.CORE.01/v53; a=(1,1,2) the unique multiset with elem-symm (4,5,2)). Reduces with P1 to {a, pi}. SYNTHESIS NOTE (reduction state 2026-07-21; text consolidation, marker Axiom UNCHANGED): P1 + the four marks are [E]-anchored (v216); given the marks, g_car = 5 follows via the partition 4 = 2+1+1 plus the Deligne/Birkhoff-Grothendieck/stability typing (v491/v499, residual R1 [C]); the clock order, the Z8 tower, the deck class and the position half of the alignment bit are theorems (v506/v507/v510) -- the compiler's dimensionless inputs reduce to: four marks (derived from P1-side topology), ONE square-modulus datum (tau = i, equivalently: the clock / the CM-fixed half-period / the non-split extension class on the free seam circle / the flag-transitivity bit V4 -> D4, v512), and pi, plus the [C] identifications R1/R2 of v499. SYNTHESIS NOTE (2026-07-22, v512 -- marker UNCHANGED): the reduction state can equivalently be written 'four marks + one discrete symmetry-lift bit (flag transitivity <=> tau = i) + pi'. This describes the REDUCTION STATE; the axiom stays declared and QGEO.REALIZE.01 stays [C]/[O] [2026-08-02 XXXIX: the four-mark closure lands -- v624: under the D_{d+1}+A_{d-1} glue architecture three independent selectors (disc-group census, even-glue norm equation, Pythagorean (3,4,5)) force d = 4, with (1,1,2) the unique 3-part partition and c_3 = 1/(8 pi): the two-input presentation reduces to ONE boundary degree d = 4 plus pi, CONDITIONAL on the architecture; the axiom keeps its typing -- the residue moves to why the physical boundary realizes the minimal cyclically-glueable genus-0 divisor; see EXTREV.LATTICE.01.] SYNTHESIS NOTE (2026-08-28, v993 -- marker Axiom UNCHANGED): the architecture conditionality of v624 is lifted at the census level -- the FULL rank-8 ADE pair census with cyclic Z4 glue on BOTH factors selects (D5, A3) uniquely (D3 ≅ A3 aliases collapsed), so the D+A split is an OUTPUT of (rank 8 + cyclic Z4), not an INPUT. Cited-not-proved remain c_- = 8 and holomorphic uniqueness of (E8)_1. Axiom typing UNCHANGED. WAVE-6 (2026-08-30, v1005): relative pencil identities exact but CIRCULARITY-FLAGGED -- carrier 5 already sits in the column sums of Q_2 and C; NOT a P2 selector until Q, C, epsilon are derived from seam geometry independently. Axiom typing UNCHANGED.  LATE EVENING (2026-08-30, v1014): W-bridge premise P-anch DERIVED (anchor chain: e1 = R^{-1}(1,1,2)^T uniquely via the winding/triple lock); P-dem narrowed to the character-blind determinant-response map -- same MMST/Quillen externalized leg as TEL-B/ALG-EXH/P1.  Axiom typing UNCHANGED.  MONDAY MORNING (2026-08-31, v1015): BOTH W-bridge premises now derived at finite level -- P-anch already (v1014 winding/triple lock); P-dem DERIVED (character-blind determinant response r=(1,1,1) exactly at collar sizes 12 and 16, democracy residual 0; mutants split (1,0,0) and (5/4,1,5/4)).  The axiom-core remainder is ZERO modulo the externalized MMST identification.  Axiom typing UNCHANGED (the finite derivations are shadows; the continuum identification is the same external leg).","Axiom (declared input; over-determined bootstrap fixed point, Lean-forced)",tfpt_1,BOOT.01; ARCH.CORE.01; CAR.PASCAL.01; FORM.LADDER.01; P2.PARTITION.01; P2.TYPING.01; SEAM.BIT.FREEDOM.01; SEAM.TAU.FLAG.01; v491; v499; v510; v512; v993,v1005_relative_pencil_bridges.py; v1010_simplicity_bridge_census.py; v1014_bridge_refinements.py; v1015_axiom_core_closure.py,-,,"Axiom (declared) but bootstrap-forced (3 ways) + Pascal-unique (Lean): g=5 is not a free knob; reduction state 2026-07-22: four marks + one discrete symmetry-lift bit (flag transitivity <=> tau = i) + pi (v491/v499/v506/v507/v510/v512), marker unchanged | 2026-08-28 v993: v624 architecture conditionality lifted at the census level (D5, A3 unique in full rank-8 ADE); axiom typing UNCHANGED | WAVE-6 (2026-08-30 v1005): pencil circularity-flagged (5 already in Q_2/C column sums); NOT a P2 selector; axiom typing UNCHANGED | AFTERNOON (2026-08-30 v1010): pencil selector rehabilitated: column sums forced by prior constructions (ladder c=2 + n=3 force Q sums (9,5,1); C's 5 inherited from R col 3 -- non-circular); W-shift conditionally unique given democratic-image + carrier-anchor-kernel (1078 -> 1); remaining obligation = seam-geometric derivation of those premises; axiom typing UNCHANGED | LATE EVENING (2026-08-30 v1014): W-bridge premise P-anch derived (anchor chain); P-dem narrowed to the character-blind determinant-response map -- same MMST/Quillen externalized leg as TEL-B/ALG-EXH/P1.  Axiom typing UNCHANGED. | MONDAY MORNING (2026-08-31 v1015): BOTH W-bridge premises derived at finite level (P-anch v1014; P-dem r=(1,1,1)); remainder 0 modulo MMST.  Axiom typing UNCHANGED.",true
FORM.P2.02,P2 carrier algebra (hypercharge/family) machine-verified,Formal,tfpt_1;tfpt_2,AX.P2.01,lean4-carrier-rigidity,-,,Formal,true
E8.GLU.01,E8 = (D5 (+) A3) + mu4 glue: explicit lattice certificate (240 roots norm^2=2; even; unimodular Gram det=1; glue index 4=|mu4|); disc=Z4; q(D5)+q(A3)=5/4+3/4=2,Lattice,tfpt_1;tfpt_3,D5; A3; Z4,v1_e8_glue.py,-,,Lattice,true
E8.NUM.01,240 = 16*5*3 and 248 = 240+8 as carrier traces,Lattice,tfpt_1,E8.GLU.01,v1_e8_glue.py,-,,Lattice,true
CAR.PAS.01,g_car = 5 unique Pascal solution (proof + check),Lattice,tfpt_1,-,v2_carrier_pascal.py,-,,Lattice,true
CAR.SM.01,N_fam=3; Omega_adm=48; b1=41/10; dim S+ = 16,Lattice,tfpt_1;tfpt_2,CAR.PAS.01,v2_carrier_pascal.py,-,,Lattice,true
CAR.UNIQ.01,"g_car=5 is the UNIQUE rank with N_fam in Z+ and g+N_fam=8; split (b,s)=(3,2) unique from b+s=5,b^2+s^2=13; Tr Y=Tr Y^3=0 (anomaly-free)",Lattice,tfpt_1,E8 closure; SM gauge algebra dim 12,v14_carrier_uniqueness.py,-,,Lattice,true
BOOT.CLASS.01,D5(+)A3 is the UNIQUE familyful cyclic-glue decomposition of E8 (16-dim half-spinor + 3-family A3); glue Z4=|mu4|,Lattice,tfpt_1;tfpt_3,E8.GLU.01; even-unimodular rank-8 uniqueness,v15_bootstrap_classification.py,-,,Lattice,true
EM.FP.01,alpha^-1 = 137.0359992168 unique root of F_U1=0 (existence + uniqueness + interval-arithmetic + ablation),Numerical,tfpt_1,AX.P1.01; EM.BUDGET.01,v3_em_alpha.py,NIST CODATA 2022 (137.035999177(21)),,Numerical,true
